ano,mes,estado,numero,encontro
2008,Maio,alagoas,0,1/1/2008
2009,Maio,alagoas,0,1/1/2009
2010,Maio,alagoas,0,1/1/2010
2011,Maio,alagoas,0,1/1/2011
2012,Maio,alagoas,21,1/1/2012
2013,Maio,alagoas,2,1/1/2013
2014,Maio,alagoas,1,1/1/2014
2015,Maio,alagoas,18,1/1/2015
2016,Maio,alagoas,4,1/1/2016
2017,Maio,alagoas,1,1/1/2017
1998,Junho,alagoas,0,1/1/1998
1999,Junho,alagoas,0,1/1/1999
2000,Junho,alagoas,0,1/1/2000
2001,Junho,alagoas,2,1/1/2001
2002,Junho,alagoas,0,1/1/2002
2003,Junho,alagoas,0,1/1/2003
2004,Junho,alagoas,0,1/1/2004
2005,Junho,alagoas,0,1/1/2005
2006,Junho,alagoas,0,1/1/2006
2007,Junho,alagoas,0,1/1/2007
2008,Junho,alagoas,0,1/1/2008
2009,Junho,alagoas,0,1/1/2009
2010,Junho,alagoas,0,1/1/2010
2011,Junho,alagoas,2,1/1/2011
2012,Junho,alagoas,4,1/1/2012
2013,Junho,alagoas,1,1/1/2013
2014,Junho,alagoas,2,1/1/2014
2015,Junho,alagoas,2,1/1/2015
2016,Junho,alagoas,5,1/1/2016
2017,Junho,alagoas,2,1/1/2017
1998,Julho,alagoas,0,1/1/1998
1999,Julho,alagoas,0,1/1/1999
2000,Julho,alagoas,0,1/1/2000
2001,Julho,alagoas,0,1/1/2001
2002,Julho,alagoas,5,1/1/2002
2003,Julho,alagoas,0,1/1/2003
2004,Julho,alagoas,0,1/1/2004
2005,Julho,alagoas,0,1/1/2005
2006,Julho,alagoas,0,1/1/2006
2007,Julho,alagoas,0,1/1/2007
2008,Julho,alagoas,0,1/1/2008
2009,Julho,alagoas,0,1/1/2009
2010,Julho,alagoas,2,1/1/2010
2011,Julho,alagoas,0,1/1/2011
2012,Julho,alagoas,0,1/1/2012
2013,Julho,alagoas,0,1/1/2013
2014,Julho,alagoas,1,1/1/2014
2015,Julho,alagoas,0,1/1/2015
2016,Julho,alagoas,3,1/1/2016
2017,Julho,alagoas,0,1/1/2017
1998,Agosto,alagoas,1,1/1/1998
1999,Agosto,alagoas,3,1/1/1999
2000,Agosto,alagoas,4,1/1/2000
2001,Agosto,alagoas,1,1/1/2001
2002,Agosto,alagoas,3,1/1/2002
2003,Agosto,alagoas,2,1/1/2003
2004,Agosto,alagoas,2,1/1/2004
2005,Agosto,alagoas,2,1/1/2005
2006,Agosto,alagoas,1,1/1/2006
2007,Agosto,alagoas,3,1/1/2007
2008,Agosto,alagoas,1,1/1/2008
2009,Agosto,alagoas,0,1/1/2009
2010,Agosto,alagoas,1,1/1/2010
2011,Agosto,alagoas,4,1/1/2011
2012,Agosto,alagoas,0,1/1/2012
2013,Agosto,alagoas,0,1/1/2013
2014,Agosto,alagoas,3,1/1/2014
2015,Agosto,alagoas,3,1/1/2015
2016,Agosto,alagoas,5,1/1/2016
2017,Agosto,alagoas,1,1/1/2017
1998,Setembro,alagoas,14,1/1/1998
1999,Setembro,alagoas,3,1/1/1999
2000,Setembro,alagoas,22,1/1/2000
2001,Setembro,alagoas,5,1/1/2001
2002,Setembro,alagoas,14,1/1/2002
2003,Setembro,alagoas,8,1/1/2003
2004,Setembro,alagoas,5,1/1/2004
2005,Setembro,alagoas,7,1/1/2005
2006,Setembro,alagoas,4,1/1/2006
2007,Setembro,alagoas,2,1/1/2007
2008,Setembro,alagoas,9,1/1/2008
2009,Setembro,alagoas,13,1/1/2009
2010,Setembro,alagoas,5,1/1/2010
2011,Setembro,alagoas,5,1/1/2011
2012,Setembro,alagoas,6,1/1/2012
2013,Setembro,alagoas,4,1/1/2013
2014,Setembro,alagoas,11,1/1/2014
2015,Setembro,alagoas,7,1/1/2015
2016,Setembro,alagoas,18,1/1/2016
2017,Setembro,alagoas,4,1/1/2017
1998,Outubro,alagoas,20,1/1/1998
1999,Outubro,alagoas,4,1/1/1999
2000,Outubro,alagoas,13,1/1/2000
2001,Outubro,alagoas,15,1/1/2001
2002,Outubro,alagoas,30,1/1/2002
2003,Outubro,alagoas,10,1/1/2003
2004,Outubro,alagoas,12,1/1/2004
2005,Outubro,alagoas,17,1/1/2005
2006,Outubro,alagoas,32,1/1/2006
2007,Outubro,alagoas,6,1/1/2007
2008,Outubro,alagoas,18,1/1/2008
2009,Outubro,alagoas,30,1/1/2009
2010,Outubro,alagoas,16,1/1/2010
2011,Outubro,alagoas,23,1/1/2011
2012,Outubro,alagoas,28,1/1/2012
2013,Outubro,alagoas,25,1/1/2013
2014,Outubro,alagoas,7,1/1/2014
2015,Outubro,alagoas,40,1/1/2015
2016,Outubro,alagoas,74,1/1/2016
2017,Outubro,alagoas,14,1/1/2017
1998,Novembro,alagoas,19,1/1/1998
1999,Novembro,alagoas,15,1/1/1999
2000,Novembro,alagoas,2,1/1/2000
2001,Novembro,alagoas,22,1/1/2001
2002,Novembro,alagoas,,1/1/2002
2003,Novembro,alagoas,17,1/1/2003
2004,Novembro,alagoas,28,1/1/2004
2005,Novembro,alagoas,25,1/1/2005
2006,Novembro,alagoas,12,1/1/2006
2007,Novembro,alagoas,15,1/1/2007
2008,Novembro,alagoas,37,1/1/2008
2009,Novembro,alagoas,55,1/1/2009
2010,Novembro,alagoas,31,1/1/2010
2011,Novembro,alagoas,23,1/1/2011
2012,Novembro,alagoas,95,1/1/2012
2013,Novembro,alagoas,10,1/1/2013
2014,Novembro,alagoas,14,1/1/2014
2015,Novembro,alagoas,162,1/1/2015
2016,Novembro,alagoas,76,1/1/2016
2017,Novembro,alagoas,10,1/1/2017
1998,Dezembro,alagoas,32,1/1/1998
1999,Dezembro,alagoas,12,1/1/1999
2000,Dezembro,alagoas,2,1/1/2000
2001,Dezembro,alagoas,30,1/1/2001
2002,Dezembro,alagoas,95,1/1/2002
2003,Dezembro,alagoas,43,1/1/2003
2004,Dezembro,alagoas,71,1/1/2004
2005,Dezembro,alagoas,16,1/1/2005
2006,Dezembro,alagoas,30,1/1/2006
2007,Dezembro,alagoas,33,1/1/2007
2008,Dezembro,alagoas,34,1/1/2008
2009,Dezembro,alagoas,55,1/1/2009
2010,Dezembro,alagoas,45,1/1/2010
2011,Dezembro,alagoas,50,1/1/2011
2012,Dezembro,alagoas,59,1/1/2012
2013,Dezembro,alagoas,42,1/1/2013
2014,Dezembro,alagoas,24,1/1/2014
2015,Dezembro,alagoas,136,1/1/2015
2016,Dezembro,alagoas,155,1/1/2016
1998,Janeiro,Amapa,0,1/1/1998
1999,Janeiro,Amapa,0,1/1/1999
2000,Janeiro,Amapa,2,1/1/2000
2001,Janeiro,Amapa,0,1/1/2001
2002,Janeiro,Amapa,7,1/1/2002
2003,Janeiro,Amapa,31,1/1/2003
2004,Janeiro,Amapa,38,1/1/2004
2005,Janeiro,Amapa,109,1/1/2005
2006,Janeiro,Amapa,6,1/1/2006
2007,Janeiro,Amapa,0,1/1/2007
2008,Janeiro,Amapa,2,1/1/2008
2009,Janeiro,Amapa,4,1/1/2009
2010,Janeiro,Amapa,2,1/1/2010
2011,Janeiro,Amapa,0,1/1/2011
2012,Janeiro,Amapa,30,1/1/2012
2013,Janeiro,Amapa,3,1/1/2013
2014,Janeiro,Amapa,10,1/1/2014
2015,Janeiro,Amapa,14,1/1/2015
2016,Janeiro,Amapa,19,1/1/2016
2017,Janeiro,Amapa,2,1/1/2017
1998,Fevereiro,Amapa,0,1/1/1998
1999,Fevereiro,Amapa,1,1/1/1999
2000,Fevereiro,Amapa,0,1/1/2000
2001,Fevereiro,Amapa,0,1/1/2001
2002,Fevereiro,Amapa,2,1/1/2002
2003,Fevereiro,Amapa,0,1/1/2003
2004,Fevereiro,Amapa,2,1/1/2004
2005,Fevereiro,Amapa,1,1/1/2005
2006,Fevereiro,Amapa,2,1/1/2006
2007,Fevereiro,Amapa,0,1/1/2007
2008,Fevereiro,Amapa,0,1/1/2008
2009,Fevereiro,Amapa,0,1/1/2009
2010,Fevereiro,Amapa,0,1/1/2010
2011,Fevereiro,Amapa,3,1/1/2011
2012,Fevereiro,Amapa,5,1/1/2012
2013,Fevereiro,Amapa,0,1/1/2013
2014,Fevereiro,Amapa,2,1/1/2014
2015,Fevereiro,Amapa,1,1/1/2015
2016,Fevereiro,Amapa,1,1/1/2016
2017,Fevereiro,Amapa,0,1/1/2017
1998,Março,Amapa,0,1/1/1998
1999,Março,Amapa,2,1/1/1999
2000,Março,Amapa,0,1/1/2000
2001,Março,Amapa,,1/1/2001
2002,Março,Amapa,0,1/1/2002
2003,Março,Amapa,1,1/1/2003
2004,Março,Amapa,0,1/1/2004
2005,Março,Amapa,0,1/1/2005
2006,Março,Amapa,0,1/1/2006
2007,Março,Amapa,0,1/1/2007
2008,Março,Amapa,1,1/1/2008
2009,Março,Amapa,1,1/1/2009
2010,Março,Amapa,2,1/1/2010
2011,Março,Amapa,0,1/1/2011
2012,Março,Amapa,1,1/1/2012
2013,Março,Amapa,0,1/1/2013
2014,Março,Amapa,1,1/1/2014
2015,Março,Amapa,2,1/1/2015
2016,Março,Amapa,5,1/1/2016
2017,Março,Amapa,0,1/1/2017
1998,Abril,Amapa,0,1/1/1998
1999,Abril,Amapa,0,1/1/1999
2000,Abril,Amapa,0,1/1/2000
2001,Abril,Amapa,0,1/1/2001
2002,Abril,Amapa,0,1/1/2002
2003,Abril,Amapa,2,1/1/2003
2004,Abril,Amapa,0,1/1/2004
2005,Abril,Amapa,0,1/1/2005
2006,Abril,Amapa,0,1/1/2006
2007,Abril,Amapa,0,1/1/2007
2008,Abril,Amapa,2,1/1/2008
2009,Abril,Amapa,,1/1/2009
2010,Abril,Amapa,2,1/1/2010
2011,Abril,Amapa,0,1/1/2011
2012,Abril,Amapa,2,1/1/2012
2013,Abril,Amapa,2,1/1/2013
2014,Abril,Amapa,0,1/1/2014
2015,Abril,Amapa,0,1/1/2015
2016,Abril,Amapa,0,1/1/2016
2017,Abril,Amapa,3,1/1/2017
1998,Maio,Amapa,0,1/1/1998
1999,Maio,Amapa,0,1/1/1999
2000,Maio,Amapa,0,1/1/2000
2001,Maio,Amapa,0,1/1/2001
2002,Maio,Amapa,3,1/1/2002
2003,Maio,Amapa,0,1/1/2003
2004,Maio,Amapa,0,1/1/2004
2005,Maio,Amapa,0,1/1/2005
2006,Maio,Amapa,0,1/1/2006
2007,Maio,Amapa,0,1/1/2007
2008,Maio,Amapa,0,1/1/2008
2009,Maio,Amapa,2,1/1/2009
2010,Maio,Amapa,2,1/1/2010
2011,Maio,Amapa,2,1/1/2011
2012,Maio,Amapa,2,1/1/2012
2013,Maio,Amapa,0,1/1/2013
2014,Maio,Amapa,0,1/1/2014
2015,Maio,Amapa,0,1/1/2015
2016,Maio,Amapa,1,1/1/2016
2017,Maio,Amapa,1,1/1/2017
1998,Junho,Amapa,0,1/1/1998
1999,Junho,Amapa,2,1/1/1999
2000,Junho,Amapa,0,1/1/2000
2001,Junho,Amapa,0,1/1/2001
2002,Junho,Amapa,0,1/1/2002
2003,Junho,Amapa,0,1/1/2003
2004,Junho,Amapa,5,1/1/2004
2005,Junho,Amapa,2,1/1/2005
2006,Junho,Amapa,0,1/1/2006
2007,Junho,Amapa,0,1/1/2007
2008,Junho,Amapa,0,1/1/2008
2009,Junho,Amapa,1,1/1/2009
2010,Junho,Amapa,0,1/1/2010
2011,Junho,Amapa,0,1/1/2011
2012,Junho,Amapa,7,1/1/2012
2013,Junho,Amapa,1,1/1/2013
2014,Junho,Amapa,0,1/1/2014
2015,Junho,Amapa,3,1/1/2015
2016,Junho,Amapa,2,1/1/2016
2017,Junho,Amapa,2,1/1/2017
1998,Julho,Amapa,0,1/1/1998
1999,Julho,Amapa,0,1/1/1999
2000,Julho,Amapa,0,1/1/2000
2001,Julho,Amapa,1,1/1/2001
2002,Julho,Amapa,1,1/1/2002
2003,Julho,Amapa,0,1/1/2003
2004,Julho,Amapa,2,1/1/2004
2005,Julho,Amapa,0,1/1/2005
